Datetime,Tweet Id,Text,Username
2021-07-19 23:59:57+00:00,1417273034986070017,Kalian yang anti vaksin itu membunuh orang dengan mulut dan jemari kalian https://t.co/K49vrtase4,zoegyBrix
2021-07-19 23:59:53+00:00,1417273017567125515,"Nda berani mau balik time raya puasa tu sbb banyak family member belum vaksin lagi, sya nda apa laa suda lengkap dos",annoyingyenn
2021-07-19 23:59:53+00:00,1417273016954757133,@unmagnetism Masih hidup walaupun setelah vaksin langsung lanjut romusha👍,dianataliaac
2021-07-19 23:59:47+00:00,1417272990463533088,"@unmagnetism Alhamdulillah udah vaksin sinovac walaupun masih vaksin dosis 1, efek pertama setelah di vaksin kalau di aku cuma ngantuk, badan pegal² sama lapar udah itu aja sih cuma sehari doang . Insha Allah tgl 28 ini vaksin dosis ke 2 😃",rikaastarii
2021-07-19 23:59:43+00:00,1417272973967335448,"Saya belom vaksin , sehrusnya 2 minggu lalu tapi keburu positif, namun kedua orang tua saya sudah vaksin..

Kami semua positif, sy mendapatkan gejala ringan (yg rasanya ga ringan) akan tetapi kedua orang tua saya puji Tuhan tanpa gejala hingga sekarang ..

Wes to ndang vaksin 🙏",JosepAryaDarman
2021-07-19 23:59:32+00:00,1417272930719866888,IYAAAA. walaupun dengan vaksin ga bisa kelar 100% tp setidaknya tubuh loo itu udh kuat gt loh jadi kalopun terpapar ya ga 100% parah. kayak dulu aja vaksin campak dll plis mindset nya buka dikit ih org2 yang gamau vaksin 🤩 https://t.co/uJPpW7f0js,cocokuntukkamu
2021-07-19 23:59:30+00:00,1417272920368324622,Huhuhu ku ingin vaksin https://t.co/mMBNILUO5l,ribkaaacs
2021-07-19 23:59:28+00:00,1417272911103107109,@mantappugirl @HanikRf @catsedih loh kan ada vaksin dari biofarma,nextleveuhl
2021-07-19 23:59:25+00:00,1417272898096570379,"Paranoid betul tak dia cucuk vaksin semalam tapi before dia cucuk dia tunjuk, after cucuk dia terus suruh aku keluar",Athirahzfr
2021-07-19 23:59:20+00:00,1417272877628366851,"@ardhybaelah @Dekary83 @inrachma @kurawa Sama bro, ngantuk dan lapar… besokannya pas bangun alhamdullilah aman2 aja dan bersyukur ngga jadi org sok edgy tapi tolol yg nolak vaksin",yakipetra
2021-07-19 23:59:14+00:00,1417272853083299913,Ampe skrg gye masih bngung vaksin yg bagus yg mana? Sinopak atau astra? Atapi bagendah yg menting gue dah paksin,putriyuvi
2021-07-19 23:59:07+00:00,1417272824557838375,Hmm nak buat mcm manee.. tak sabar nak jalan kl😂 (pdhl vaksin) https://t.co/WwIz6rB1RZ,qilasajee
2021-07-19 23:59:06+00:00,1417272819847634961,"@divara012 @chicohakim Tolong jgn bikin hoax, urusan nyawa itu langsung berhadapan dg Allah SWT.

Kalau habis vaksin, minum kencing onta, ... memang bisa meninggal, tapi itu ngak keren",KhoHiWan1
2021-07-19 23:58:44+00:00,1417272725253496849,"@henidrahayu saya vaksin dan masih hidup. 

Perlu buat gerakan kek gitu mbak. 
Selamat Idul Qurban 😁🙏",_onmr
2021-07-19 23:58:36+00:00,1417272693854965762,@Innayaputri72 kita doakan juga semoga situasi plandemi ini segera hilang semua termasik semua persyaratan2 nya seperti vaksin dll.,zakifs3
2021-07-19 23:58:35+00:00,1417272690088452108,@divara012 @chicohakim By data donk bu? Dan perbandingan yg meninggal di vaksin dan tidak di vaksin,kaenlapz_
